age,income,employment_status,home_ownership,credit_score,loan_amount,loan_term,debt_to_income,delinquency_history,purpose,default_status
25,35000,Employed,Rent,640,8000,36,0.28,0,car,no
42,72000,Employed,Own,715,15000,60,0.18,0,home_improvement,no
36,54000,Self-employed,Mortgage,680,12000,36,0.32,1,debt_consolidation,yes
29,42000,Employed,Rent,610,6000,36,0.35,2,medical,yes
55,98000,Employed,Own,760,25000,60,0.14,0,business,no
31,47000,Employed,Rent,655,10000,36,0.24,0,education,no
47,51000,Unemployed,Rent,590,9000,36,0.41,3,personal,yes
38,61000,Employed,Mortgage,700,18000,60,0.22,0,home_improvement,no
26,38000,Student,Rent,630,5000,24,0.30,0,education,no
44,85000,Self-employed,Own,740,20000,60,0.19,0,business,no
33,46000,Employed,Rent,625,7000,36,0.27,1,debt_consolidation,no
50,73000,Employed,Mortgage,690,16000,60,0.25,0,car,no
28,39000,Employed,Rent,605,6500,36,0.38,2,medical,yes
41,68000,Self-employed,Own,725,14000,48,0.20,0,home_improvement,no
37,52000,Employed,Mortgage,675,11000,36,0.29,1,personal,no
23,32000,Unemployed,Rent,580,4000,24,0.44,3,education,yes
58,105000,Employed,Own,780,22000,60,0.12,0,business,no
30,49000,Employed,Rent,650,9000,36,0.26,0,car,no
46,56000,Self-employed,Mortgage,695,17000,48,0.31,1,debt_consolidation,yes
34,44000,Employed,Rent,635,8000,36,0.33,2,medical,yes
40,76000,Employed,Own,730,19000,60,0.21,0,home_improvement,no
27,36000,Student,Rent,615,4500,24,0.39,1,education,no
52,88000,Employed,Mortgage,745,21000,60,0.16,0,business,no
39,59000,Employed,Rent,670,12000,36,0.23,0,personal,no
24,34000,Unemployed,Rent,600,5500,24,0.42,2,medical,yes
45,62000,Self-employed,Own,705,15000,48,0.19,0,car,no
32,48000,Employed,Mortgage,660,10000,36,0.28,1,debt_consolidation,no
48,81000,Employed,Own,735,20000,60,0.17,0,home_improvement,no
29,41000,Employed,Rent,620,7000,36,0.34,2,education,yes
53,95000,Self-employed,Own,770,24000,60,0.13,0,business,no
